"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17544","deberia hacer click en el tab de Menu de la navbar","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","55612","deberia mostrar error con contrasena incorrecta","Flujo de Login","2026-04-14","broken","2026-04-14","","","",""
"","5299","deberia descubrir secciones y navegar 4 sliders aleatorios","Navegación — Home","2026-04-14","broken","2026-04-14","","","",""
"","25972","deberia presionar el boton de ingresar y autenticarse","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","18711","deberia ingresar email y contrasena correctos","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","8546","deberia mostrar la pantalla de login","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","16690","deberia mostrar error con email invalido","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","11781","deberia tener la app abierta","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","3328","deberia estar en la pantalla de Inicio","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
"","3472","deberia scrollear al inicio del home","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
